battleLabel,date,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
"Battle of Chios","1621-03-20","Chios","38.4000","26.0167","Osman II","Q170088","Spanish–Ottoman Wars","http://www.wikidata.org/entity/Q131584955"
"Battle of Palermo","1624-05-23","Palermo","38.1157","13.3613","Murad IV","Q170092","Spanish–Ottoman Wars","http://www.wikidata.org/entity/Q131585804"
"Battle of the Dalmatian Coast","1624-07-13","Dalmatia","43.8128","16.2188","Murad IV","Q170092","Spanish–Ottoman Wars","http://www.wikidata.org/entity/Q131584947"
"Action of 26 June 1625","1625-06-26","Syracuse","37.0692","15.2875","Murad IV","Q170092","","http://www.wikidata.org/entity/Q4677321"
"Battle of Sasowym Rogiem","1633-07-04","Q9333973","47.7947","27.2536","Murad IV","Q170092","Polish–Ottoman War of 1633–34","http://www.wikidata.org/entity/Q16495540"
"Battle of Valona","1638-08-01","Bay of Vlorë","40.4283","19.4281","Murad IV","Q170092","Ottoman–Venetian Wars","http://www.wikidata.org/entity/Q2890283"
"Action of 28 September 1644","1644-09-28","Rhodes","36.1700","27.9200","Ibrahim Iᵉʳ","Q170096","","http://www.wikidata.org/entity/Q4677334"
"Action of 26 May 1646","1646-03-31","Dardanelles","40.2000","26.4000","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677324"
"Action of 26 May 1646","1646-03-31","Bozcaada","39.8167","26.0500","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677324"
"Action of 26 May 1646","1646-05-26","Dardanelles","40.2000","26.4000","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677324"
"Action of 26 May 1646","1646-05-26","Bozcaada","39.8167","26.0500","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677324"
"Battle of Chania","1646-08-14","Chania","35.5167","24.0167","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q128395513"
"Battle of Zadvarje","1646-08-24","Zadvarje","43.4314","16.8897","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q97945413"
"Battle of Makronisos","1647-01-27","Makronisos","37.7000","24.1200","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q118946339"
"Siege of Candia","1648-05-01","Heraklion","35.3403","25.1344","Ibrahim Iᵉʳ","Q170096","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q701094"
"Battle of Focchies","1649-05-12","Foça district","38.6689","26.7528","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q2888513"
"Action of 10 July 1651","1651-07-10","Naxos Island","37.0833","25.4667","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q2889584"
"Battle of Elba","1652-09-06","Mediterranean Sea","38.0000","17.0000","Mehmed IV","Q170098","First Anglo-Dutch War","http://www.wikidata.org/entity/Q1814482"
"Battle of Finta","1653-05-27","Finta","44.7903","25.7950","Mehmed IV","Q170098","Moldavian campaign of Tymofiy Khmelnytsky","http://www.wikidata.org/entity/Q2576318"
"Battle of Perast","1654-05-15","Perast","42.4869","18.6992","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q20526599"
"Battle of the Dardanelles","1654-05-16","Dardanelles","40.2000","26.4000","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4816420"
"Battle of the Dardanelles","1655-06-21","Dardanelles","40.2000","26.4000","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4872903"
"Battle of the Dardanelles","1656-06-26","Dardanelles","40.2000","26.4000","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q256563"
"Action of 3 May 1657","1657-05-03","Mediterranean Sea","38.0000","17.0000","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677357"
"Battle of Marina","1657-06-01","Marina","43.5141","16.1082","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q20526219"
"Battle of the Dardanelles","1657-07-17","Dardanelles","40.2000","26.4000","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q2890660"
"Capture of Kalamata","1659-03-01","Kalamata","37.0378","22.1111","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q134608208"
"Siege of Nagyvárad 1660","1660-01-01","Oradea Citadel","47.0516","21.9429","Mehmed IV","Q170098","","http://www.wikidata.org/entity/Q129259683"
"Action of 27 August 1661","1661-08-27","Milos","36.6875","24.4325","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q4677326"
"Action of 29 September 1662","1662-09-29","Kos","36.8153","27.1103","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q9172350"
"Battle of Köbölkút","1663-08-06","Gbelce","47.8506","18.5111","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q269479"
"First Battle of Zrínyiújvár","1663-08-13","Novi Zrin","46.3241","16.8785","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q989114"
"Battle at Jurjeve Stijene","1663-10-16","Otočac","44.8697","15.2372","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q20526364"
"Second Battle of Zrínyiújvár","1663-11-27","Novi Zrin","46.3241","16.8785","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q1212536"
"Battle of Várad","1664-05-27","Oradea","47.0722","21.9211","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q1461914"
"Battle of Saint Gotthard","1664-08-01","Szentgotthárd","46.9525","16.2736","Mehmed IV","Q170098","Austro-Turkish War of 1663–1664","http://www.wikidata.org/entity/Q170113"
"Battle of Porto Delphino","1665-11-27","Chios","38.4000","26.0167","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q2889683"
"Battle of Gradac","1666-09-15","Gradac","43.1061","17.3411","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q65128763"
"Battle of San Pelagio","1668-03-08","Heraklion","35.3403","25.1344","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q118946383"
"Battle of Lesbos","1668-06-15","Lesbos","39.2100","26.2800","Mehmed IV","Q170098","Cretan War of 1645-1669","http://www.wikidata.org/entity/Q118946393"
"Battle of Stromboli","1675-02-11","Stromboli","38.8040","15.2233","Mehmed IV","Q170098","Franco-Dutch War","http://www.wikidata.org/entity/Q15154118"
"Battle of Stromboli","1676-01-08","Stromboli","38.8040","15.2233","Mehmed IV","Q170098","Franco-Dutch War","http://www.wikidata.org/entity/Q1814863"
"Battle of Augusta","1676-04-22","Augusta","37.2303","15.2194","Mehmed IV","Q170098","Franco-Dutch War","http://www.wikidata.org/entity/Q939845"
"Battle of Palermo","1676-06-02","Palermo","38.1157","13.3613","Mehmed IV","Q170098","Franco-Dutch War","http://www.wikidata.org/entity/Q717322"
"Battle of San Leonardello","1677-09-25","San Leonardello","37.6883","15.1717","Mehmed IV","Q170098","Franco-Dutch War","http://www.wikidata.org/entity/Q139499125"
"Battle of San Leonardello","1677-09-25","San Leonardello","37.6883","15.1717","Mehmed IV","Q170098","Messina revolt","http://www.wikidata.org/entity/Q139499125"
"Battle of Párkány","1683-01-01","Štúrovo","47.7992","18.7181","Mehmed IV","Q170098","Great Turkish War","http://www.wikidata.org/entity/Q694911"
"Battle of Párkány","1683-01-01","Štúrovo","47.7992","18.7181","Mehmed IV","Q170098","Polish–Ottoman War of 1683–99","http://www.wikidata.org/entity/Q694911"
"Battle of Párkány","1683-10-07","Štúrovo","47.7992","18.7181","Mehmed IV","Q170098","Great Turkish War","http://www.wikidata.org/entity/Q694911"
"Battle of Párkány","1683-10-07","Štúrovo","47.7992","18.7181","Mehmed IV","Q170098","Polish–Ottoman War of 1683–99","http://www.wikidata.org/entity/Q694911"
"Battle of Chițcani (1683)","1683-12-05","Chițcani","46.7856","29.6086","Mehmed IV","Q170098","Polish–Ottoman War of 1683–99","http://www.wikidata.org/entity/Q4087377"
