battleLabel,date,date_precision,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
Battle of the Dardanelles,1655-06-21,day,Dardanelles,40.2000,26.4000,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q4872903
Battle of the Dardanelles,1656-06-26,day,Dardanelles,40.2000,26.4000,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q256563
Action of 3 May 1657,1657-05-03,day,Mediterranean Sea,38.0000,17.0000,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q4677357
Battle of Marina,1657-06-01,month,Marina,43.5141,16.1082,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q20526219
Battle of the Dardanelles,1657-07-17,day,Dardanelles,40.2000,26.4000,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q2890660
Capture of Kalamata,1659-03-01,month,Kalamata,37.0378,22.1111,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q134608208
Siege of Nagyvárad 1660,1660-01-01,year,Oradea Citadel,47.0516,21.9429,Mehmed IV,Q170098,,http://www.wikidata.org/entity/Q129259683
Action of 27 August 1661,1661-08-27,day,Milos,36.6875,24.4325,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q4677326
Action of 29 September 1662,1662-09-29,day,Kos,36.8153,27.1103,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q9172350
Battle of Köbölkút,1663-08-06,day,Gbelce,47.8506,18.5111,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q269479
First Battle of Zrínyiújvár,1663-08-13,day,Novi Zrin,46.3241,16.8785,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q989114
Battle at Jurjeve Stijene,1663-10-16,day,Otočac,44.8697,15.2372,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q20526364
Second Battle of Zrínyiújvár,1663-11-27,day,Novi Zrin,46.3241,16.8785,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q1212536
Battle of Várad,1664-05-27,day,Oradea,47.0722,21.9211,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q1461914
Battle of Saint Gotthard,1664-08-01,month,Szentgotthárd,46.9525,16.2736,Mehmed IV,Q170098,Austro-Turkish War (1663–1664),http://www.wikidata.org/entity/Q170113
Battle of Porto Delphino,1665-11-27,day,Chios,38.4000,26.0167,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q2889683
Battle of Gradac,1666-09-15,day,Gradac,43.1061,17.3411,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q65128763
Battle of San Pelagio,1668-03-08,day,Heraklion,35.3403,25.1344,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q118946383
Battle of Lesbos,1668-06-15,day,Lesbos,39.2100,26.2800,Mehmed IV,Q170098,Cretan War (1645–1669),http://www.wikidata.org/entity/Q118946393
Battle of Párkány,1683-10-07,day,Štúrovo,47.7992,18.7181,Mehmed IV,Q170098,Great Turkish War (1683–1699),http://www.wikidata.org/entity/Q694911
Battle of Chițcani (1683),1683-12-05,day,Chițcani,46.7856,29.6086,Mehmed IV,Q170098,Great Turkish War (1683–1699),http://www.wikidata.org/entity/Q4087377
